concert_name,comment_text,comment_time,like_count,user_region,source_platform,source_url,collected_at
【北京】5折早鸟｜重温经典——“四大名著”《红楼梦》《西游记》《三国演义》《水浒传》交响演唱会,效果非常好，《四大名著》运用电视剧的经典曲目诠释音乐艺术哲学，用三国演义体现出潮起潮落时代发展，体现出人在人间困苦，冲破格局中华民族拼搏进取精神。用红楼梦诉说自然母亲对于自己后辈寄语希望不舍于世。虽然葬花吟是哀伤确又让女高音唱出新生春之力。化作春泥在新生！水浒传说的江湖好汉与现实争斗的侠义情。而西游记是用排除千山万险去突破僵局，女儿情表现是对勇者钦佩敬意！最后用耳熟能详曲目让观众在快乐音乐艺术里得到升华！音乐艺术信义，中国道义隐藏着这场演出中。音乐可以把信义用特有方式传递给世界每个角落。中国音乐风正在帮助世界发展，默默守护自己国家和世界！愿世界和平一切都会好起来！,2024-04-21 11:19,0,北京站,damai,https://m.damai.cn/shows/item.html?itemId=770636933337,2026-08-31T18:38:53
【北京】5折早鸟｜重温经典——“四大名著”《红楼梦》《西游记》《三国演义》《水浒传》交响演唱会,演奏精湛，演唱精彩。,2025-06-08 19:00,0,北京站,damai,https://m.damai.cn/shows/item.html?itemId=770636933337,2026-08-31T18:38:53
【北京】5折早鸟｜重温经典——“四大名著”《红楼梦》《西游记》《三国演义》《水浒传》交响演唱会,整体还行，但是对吴女士演唱的《貂蝉已随清风去》比较失望，高昂有余缺乏感情，没有原唱那种娓娓道来的深情的感觉,2025-06-06 21:34,0,北京站,damai,https://m.damai.cn/shows/item.html?itemId=770636933337,2026-08-31T18:38:53
【北京】5折早鸟｜重温经典——“四大名著”《红楼梦》《西游记》《三国演义》《水浒传》交响演唱会,好,2025-03-29 22:31,0,北京站,damai,https://m.damai.cn/shows/item.html?itemId=770636933337,2026-08-31T18:38:53
【北京】5折早鸟｜重温经典——“四大名著”《红楼梦》《西游记》《三国演义》《水浒传》交响演唱会,第一次听 总体觉得一般，单独演奏时乐器配合很好 没觉得有问题 特别是云宫迅音，反馈都特别好。演唱和演奏的配合还是有点问题，演唱过于高亢，可能是美声的关系 感觉情感的带入不明显 而且演唱的声音过于高亢 和演奏的声音好低融入不是特别好 ，个人浅见,2024-12-23 10:41,0,北京站,damai,https://m.damai.cn/shows/item.html?itemId=770636933337,2026-08-31T18:38:53
【北京】5折早鸟｜重温经典——“四大名著”《红楼梦》《西游记》《三国演义》《水浒传》交响演唱会,有的演员水平不行，好歌都唱坏了,2024-12-18 22:23,0,北京站,damai,https://m.damai.cn/shows/item.html?itemId=770636933337,2026-08-31T18:38:53
【北京】5折早鸟｜重温经典——“四大名著”《红楼梦》《西游记》《三国演义》《水浒传》交响演唱会,谢谢,2024-10-21 15:36,0,北京站,damai,https://m.damai.cn/shows/item.html?itemId=770636933337,2026-08-31T18:38:53
【北京】5折早鸟｜重温经典——“四大名著”《红楼梦》《西游记》《三国演义》《水浒传》交响演唱会,怀旧，仿佛回到了少年时代,2024-08-09 21:14,0,北京站,damai,https://m.damai.cn/shows/item.html?itemId=770636933337,2026-08-31T18:38:53
【北京】5折早鸟｜重温经典——“四大名著”《红楼梦》《西游记》《三国演义》《水浒传》交响演唱会,男高音音色一般,2024-07-30 14:04,0,北京站,damai,https://m.damai.cn/shows/item.html?itemId=770636933337,2026-08-31T18:38:53
【北京】5折早鸟｜重温经典——“四大名著”《红楼梦》《西游记》《三国演义》《水浒传》交响演唱会,演出非常好,2024-07-28 13:09,0,北京站,damai,https://m.damai.cn/shows/item.html?itemId=770636933337,2026-08-31T18:38:53
【北京】5折早鸟｜重温经典——“四大名著”《红楼梦》《西游记》《三国演义》《水浒传》交响演唱会,喜欢滚滚长江东逝水的陈剑杰，气场十足，人帅声稳。音乐会整体都不错，最后返场氛围很好，音乐厅空调温度适中，总的来说值得推荐！就是不让拍照录像，有点遗憾。,2024-07-27 23:07,0,北京站,damai,https://m.damai.cn/shows/item.html?itemId=770636933337,2026-08-31T18:38:53
【北京】5折早鸟｜重温经典——“四大名著”《红楼梦》《西游记》《三国演义》《水浒传》交响演唱会,现场的感觉太棒了！男中音陈建杰滚滚长江东逝水我只想用一句诗来表达：曾经沧海难为水，除却巫山不是云。声音和情感全部带着层次，音色上就一个词：高级！要是还有多个词，那就是低调中带着含蓄带着收放自如。好的歌唱是让人忘记技巧全部沉浸在感情里的，他做到了！余音绕梁、左右声道立体环绕！还有满满的正能量！据说还发着烧在演唱，依然情绪饱满的展现出来。建议增加陈建杰的出场频次，听不够，每次意犹未尽。,2024-07-27 16:41,0,北京站,damai,https://m.damai.cn/shows/item.html?itemId=770636933337,2026-08-31T18:38:53
【北京】5折早鸟｜重温经典——“四大名著”《红楼梦》《西游记》《三国演义》《水浒传》交响演唱会,不错👍,2024-07-27 06:34,0,北京站,damai,https://m.damai.cn/shows/item.html?itemId=770636933337,2026-08-31T18:38:53
【北京】5折早鸟｜重温经典——“四大名著”《红楼梦》《西游记》《三国演义》《水浒传》交响演唱会,整体感觉很好，演唱的嘉宾和乐队配合的非常棒，演唱的嘉宾唱的很投入，特别喜欢吴春燕老师的《葬花吟》和《天竺少女》，很不错的体验。,2024-07-26 22:35,0,北京站,damai,https://m.damai.cn/shows/item.html?itemId=770636933337,2026-08-31T18:38:53
【北京】5折早鸟｜重温经典——“四大名著”《红楼梦》《西游记》《三国演义》《水浒传》交响演唱会,表演很尽力,2024-07-26 22:13,0,北京站,damai,https://m.damai.cn/shows/item.html?itemId=770636933337,2026-08-31T18:38:53
【北京】5折早鸟｜重温经典——“四大名著”《红楼梦》《西游记》《三国演义》《水浒传》交响演唱会,您好！演唱很棒点赞👍,2024-07-26 22:10,0,北京站,damai,https://m.damai.cn/shows/item.html?itemId=770636933337,2026-08-31T18:38:53
【北京】5折早鸟｜重温经典——“四大名著”《红楼梦》《西游记》《三国演义》《水浒传》交响演唱会,老爸喜欢，经典曲目永久流传。,2024-06-20 09:52,0,北京站,damai,https://m.damai.cn/shows/item.html?itemId=770636933337,2026-08-31T18:38:53
【北京】5折早鸟｜重温经典——“四大名著”《红楼梦》《西游记》《三国演义》《水浒传》交响演唱会,歌唱家的演唱，管弦乐队的演奏都很好。曲子经典，氛围很好。,2024-05-31 11:16,0,北京站,damai,https://m.damai.cn/shows/item.html?itemId=770636933337,2026-08-31T18:38:53
