artist_name,song_name,comment_text,like_count,user_region,source_url,collected_at
1039乐队,交给时间斑驳,"""正因为我有能力跨越，这个考验才会降临。""",3608,河西_JT,https://music.163.com/#/song?id=3341926470,2026-08-31
1039乐队,交给时间斑驳,人这一辈子千万不要马虎两件事 一是找对爱人  二是找对事业 太阳升起时要投身事业 太阳落山时要与爱人相拥的 我们终其一生都在寻找两件事 一是价值感  二是归属感 价值感来源于肯定 归属感来源于被爱,3113,张叔儿,https://music.163.com/#/song?id=3341926470,2026-08-31
1039乐队,交给时间斑驳,“一个太过文艺的人，注定不会太快乐，心里有爱、有善良，骨子里住着孩子般的纯真，但也往往多愁善感，容易感知美好，也更容易体会悲伤，他喜欢文字，但往往也不善言辞，不是文字太少，而是感受很多。”,2251,TheFallenSoul,https://music.163.com/#/song?id=3341926470,2026-08-31
1039乐队,交给时间斑驳,以前总觉得赢了才叫厉害  后来才明白能主动退出消耗自己的局  才是强大不是所有仗都值得打不是所有问题都需要解决  高端的玩家是这一局我可以不玩   你的目标是穿过沼泽地而不是对付每一条鳄鱼   别让无关的人耽误你赶路的脚步记住  沉默成本不参与重大决策  顶级的自信就是你走哪条路哪条路就会开满花,1725,徐司令-,https://music.163.com/#/song?id=3341926470,2026-08-31
1039乐队,交给时间斑驳,恁咋不早说 咱俩某以后,1358,小考拉ovo,https://music.163.com/#/song?id=3341926470,2026-08-31
1039乐队,交给时间斑驳,最开始只是觉得旋律很好听，直到我在我在无尽播放中听到“我沉默的崩溃，又慌乱的自愈”，那些没被偏爱过吃过眼泪拌饭的死小孩们应该很有感触吧。,716,藏bass,https://music.163.com/#/song?id=3341926470,2026-08-31
1039乐队,交给时间斑驳,我沉默的崩溃 又慌乱的自愈。,643,我可以吻你麼,https://music.163.com/#/song?id=3341926470,2026-08-31
1039乐队,交给时间斑驳,我会搞砸一切 并坐在美丽的废墟上 休息一整天,583,-再睡7分钟,https://music.163.com/#/song?id=3341926470,2026-08-31
1039乐队,交给时间斑驳,“时间是横渡一切的造物。”,551,Fernweh-J,https://music.163.com/#/song?id=3341926470,2026-08-31
1039乐队,交给时间斑驳,都已经27了还想谈个纯爱找一个下班一起回家做做饭 吃完收拾下散散步到处逛逛偶尔打卡餐厅没事在家一起看看电影打游戏累了难受了喝点小酒互相诉苦空了一起旅旅游做喜欢做的事情我想我也是疯了,544,周末女孩,https://music.163.com/#/song?id=3341926470,2026-08-31
1039乐队,交给时间斑驳,日推里的惊喜[心动],482,毒死你的河豚素,https://music.163.com/#/song?id=3341926470,2026-08-31
1039乐队,交给时间斑驳,人就像一棵树 在流泪的同时 也在浇灌自己 等眼泪流完了 你也就长大了,481,track_7,https://music.163.com/#/song?id=3341926470,2026-08-31
1039乐队,交给时间斑驳,每段关系都有它的使命，不管带给我们是喜悦、痛苦还是成长，使命完成了，就谢幕了。 人生而孤独，没有人时刻陪着你，不管你的父母，子女还是伴侣，陪着你最多的是你自己。 判断任何关系的价值基础就看是滋养还是内耗，当滋养消退，内耗出现时，我们就该接纳，感恩，然后默默离开。,398,JKERIZE,https://music.163.com/#/song?id=3341926470,2026-08-31
1039乐队,交给时间斑驳,哈哈！,319,供销社乐队,https://music.163.com/#/song?id=3341926470,2026-08-31
